,Name,Weight,Acceleration,OnRoadTraction,OffRoadTraction,MiniTurbo,GroundSpeed,WaterSpeed,AntiGravitySpeed,AirSpeed,GroundHandling,WaterHandling,AntiGravityHandling,AirHandling,Invincibility
0,Standard Kart,2,4,3,3,5,3,3,3,3,3,2,3,3,3
1,Pipe Frame,1,6,3,4,6,2,3,1,1,5,4,4,2,2
2,Mach 8,3,3,2,4,5,3,3,5,4,2,2,4,2,4
3,Steel Driver,4,1,1,3,3,4,5,2,0,1,5,1,1,6
4,Cat Cruiser,2,5,4,3,6,2,2,3,4,4,2,3,4,3
5,Circuit Special,3,1,3,1,3,5,1,4,2,1,1,2,0,6
6,Tri-Speeder,4,1,1,3,3,4,5,2,0,1,5,1,1,6
7,Badwagon,4,0,2,5,3,5,2,3,1,0,1,1,0,7
8,Prancer,1,2,1,2,4,4,3,3,3,3,3,2,3,5
9,Biddybuggy,0,7,1,4,7,0,1,2,1,5,4,5,4,0
10,Landship,0,6,0,6,6,2,5,0,2,4,5,2,3,1
11,Sneeker,2,2,1,0,4,4,2,3,3,3,2,3,2,5
12,Sports Coupe,3,3,2,4,5,3,3,5,4,2,2,4,2,4
13,Gold Standard,2,2,1,0,4,4,2,3,3,3,2,3,2,4
14,Standard Bike,1,5,3,5,5,2,2,4,3,4,3,4,3,3
15,Comet,2,5,4,3,6,2,2,3,4,4,2,3,4,2
16,Sport Bike,1,2,1,2,4,4,3,3,3,3,3,2,3,3
17,The Duke,2,4,3,3,5,3,3,3,3,3,2,3,3,3
18,Flame Rider,1,5,3,5,5,2,2,4,3,4,3,4,3,2
19,Varmint,1,6,3,4,6,2,3,1,1,5,4,4,2,2
20,Mr. Scooty,0,7,1,4,7,0,1,2,1,5,4,5,4,0
21,Jet Bike,1,2,1,2,4,4,3,3,3,3,3,2,3,3
22,Yoshi Bike,2,5,4,3,6,2,2,3,4,4,2,3,4,2
23,Standard ATV,4,0,2,5,3,5,2,3,1,0,1,1,0,6
24,Wild Wiggler,1,5,3,5,5,2,2,4,3,4,3,4,3,1
25,Teddy Buggy,2,5,4,3,6,2,2,3,4,4,2,3,4,3
26,GLA,4,0,2,5,3,5,2,3,1,0,1,1,0,7
27,W 25 Silver Arrow,1,5,3,5,5,2,2,4,3,4,3,4,3,3
28,300 SL Roadster,2,4,3,3,5,3,3,3,3,3,2,3,3,4
29,Blue Falcon,0,3,1,3,4,4,2,4,3,2,3,5,1,4
30,Tanooki Kart,3,2,4,7,5,3,4,3,3,4,4,3,3,4
31,B Dasher,3,1,3,1,3,5,1,4,2,1,1,2,0,6
32,Master Cycle,2,2,1,0,4,4,2,3,3,3,2,3,2,3
33,Streetle,0,6,0,6,6,2,5,0,2,4,5,2,3,2
34,P-Wing,3,1,3,1,3,5,1,4,2,1,1,2,0,6
35,City Tripper,1,6,3,4,6,2,3,1,1,5,4,4,2,1
36,Bone Rattler,4,1,1,3,3,4,5,2,0,1,5,1,1,5
37,Koopa Clown,3,2,4,7,5,3,4,3,3,4,4,3,3,3
38,Splat Buggy,0,3,1,3,4,4,2,4,3,2,3,5,1,3
39,Inkstriker,3,3,2,4,5,3,3,5,4,2,2,4,2,3
40,Master Cycle Zero,3,2,4,7,5,3,4,3,3,4,4,3,3,3
